,Datetime,Open,High,Low,Close,Volume
197,2024-08-02 17:00:00,207.31,207.77,193.698,207.498,85888
198,2024-08-02 16:30:00,207.675,221.76,193.099,207.3,639968
199,2024-08-02 16:00:00,207.67,207.9,207.06,207.621,8209156
200,2024-08-02 15:30:00,206.85,209.45,205.78,207.67,7199548
201,2024-08-02 15:00:00,206.74,207.311,205.89,206.86,3555309
202,2024-08-02 14:30:00,208.29,208.95,206.75,206.755,3017987
203,2024-08-02 14:00:00,206.83,208.36,206.2,208.32,3217448
204,2024-08-02 13:30:00,207.49,208.0,205.8,206.859,4133572
205,2024-08-02 13:00:00,208.49,209.014,207.5,207.513,3316827
206,2024-08-02 12:30:00,209.56,210.37,207.78,208.461,3826815
207,2024-08-02 12:00:00,210.17,210.6,208.03,209.58,4111147
208,2024-08-02 11:30:00,208.97,211.93,208.81,210.12,5925900
209,2024-08-02 11:00:00,209.33,209.79,207.2,208.94,7714422
210,2024-08-02 10:30:00,213.18,214.55,209.0,209.3,8306740
211,2024-08-02 10:00:00,214.0,214.8,210.445,213.23,7735092
212,2024-08-02 09:30:00,214.88,216.13,212.44,213.925,11191377
213,2024-08-02 09:00:00,211.09,215.0,210.3,214.82,613655
214,2024-08-02 08:30:00,215.49,230.005,210.0,211.32,1218341
215,2024-08-02 08:00:00,214.6,221.87,213.5,215.5,303692
216,2024-08-02 07:30:00,216.11,216.2,214.41,214.98,188249
217,2024-08-02 07:00:00,217.87,218.07,215.68,216.2,141364
218,2024-08-02 06:30:00,218.62,218.83,217.35,217.89,59363
219,2024-08-02 06:00:00,217.59,218.75,217.22,218.59,103051
220,2024-08-02 05:30:00,218.21,218.74,216.18,217.6,138090
221,2024-08-02 05:00:00,215.97,221.92,215.95,218.2,256247
222,2024-08-02 04:30:00,214.4,215.9,214.24,215.9,94020
223,2024-08-02 04:00:00,214.63,215.9,213.37,214.4,140772
224,2024-08-01 19:30:00,217.0,217.35,216.67,217.1,77452
225,2024-08-01 19:00:00,216.1,217.0,215.78,217.0,78005
226,2024-08-01 18:30:00,217.1,217.17,216.02,216.19,62214
227,2024-08-01 18:00:00,217.3,217.5,216.3,217.1,111080
228,2024-08-01 17:30:00,216.2,217.45,216.0,217.36,102066
229,2024-08-01 17:00:00,216.37,217.28,215.55,216.16,308100
230,2024-08-01 16:30:00,214.79,216.86,214.33,216.4,242295
231,2024-08-01 16:00:00,216.86,223.859,214.3,214.8,10183698
232,2024-08-01 15:30:00,216.45,217.49,215.52,216.75,7455317
233,2024-08-01 15:00:00,215.14,216.83,214.333,216.45,5721009
234,2024-08-01 14:30:00,217.599,222.72,214.9,215.16,6164879
235,2024-08-01 14:00:00,220.245,220.59,217.14,217.6,4653225
236,2024-08-01 13:30:00,219.82,220.466,217.62,220.246,5209928
237,2024-08-01 13:00:00,221.56,221.8,219.52,219.78,4097447
238,2024-08-01 12:30:00,222.279,222.38,220.94,221.57,3838598
239,2024-08-01 12:00:00,222.614,223.98,221.97,222.294,3627735
240,2024-08-01 11:30:00,224.91,225.26,222.3,222.621,4806047
241,2024-08-01 11:00:00,225.01,225.46,223.82,224.94,5098280
242,2024-08-01 10:30:00,226.79,227.09,224.6,225.01,6695662
243,2024-08-01 10:00:00,228.93,231.867,226.634,226.77,7962333
244,2024-08-01 09:30:00,227.69,230.4,226.42,228.932,10121835
245,2024-08-01 09:00:00,230.65,230.83,226.79,227.5,543588
246,2024-08-01 08:30:00,231.36,232.87,228.58,230.6,187221
247,2024-08-01 08:00:00,232.69,233.55,229.488,231.224,267124
248,2024-08-01 07:30:00,230.84,230.93,230.17,230.42,79106
249,2024-08-01 07:00:00,231.49,231.62,230.56,230.8,104589
250,2024-08-01 06:30:00,231.54,231.67,231.16,231.43,27819
251,2024-08-01 06:00:00,231.25,231.67,231.01,231.56,16992
252,2024-08-01 05:30:00,231.1,231.9,231.01,231.2,33495
253,2024-08-01 05:00:00,230.64,231.68,230.1,231.07,33083
254,2024-08-01 04:30:00,230.08,231.3,229.5,230.67,57384
255,2024-08-01 04:00:00,232.15,233.72,229.4,230.0,127739
256,2024-07-31 19:30:00,232.84,232.89,232.25,232.66,62490
257,2024-07-31 19:00:00,232.93,233.0,232.72,232.84,35458
258,2024-07-31 18:30:00,232.94,233.0,232.68,232.92,37227
259,2024-07-31 18:00:00,232.6,233.33,232.55,232.95,54347
260,2024-07-31 17:30:00,233.01,233.08,232.32,232.6,50888
261,2024-07-31 17:00:00,232.6,233.11,232.07,233.05,77545
262,2024-07-31 16:30:00,232.76,245.975,220.991,232.77,220231
263,2024-07-31 16:00:00,232.07,233.5,231.95,232.76,9023594
264,2024-07-31 15:30:00,231.25,232.99,230.82,232.1,5075092
265,2024-07-31 15:00:00,232.973,233.45,230.72,231.205,4031170
266,2024-07-31 14:30:00,231.23,233.19,230.5,232.955,3816128
